Organism Name	GenBank Accession	Superkingdom	Temperature Range	Pathogenic	Oxygen Requirement	Salinity	Habitat	Average tAI									
Lactobacillus brevis ATCC 367	CP000416	Bacteria	Mesophilic	No	Facultative		Multiple	0.4914796									
Lactobacillus casei	FM177140	Bacteria	Mesophilic	No	Facultative		Specialized	0.4438375									
Lactobacillus casei ATCC 334	CP000423	Bacteria	Mesophilic	No	Facultative		Multiple	0.4436574									
Lactobacillus delbrueckii bulgaricus	CR954253	Bacteria	Mesophilic	No	Facultative		Multiple	0.3917832									
Lactobacillus delbrueckii bulgaricus ATCC BAA-365	CP000412	Bacteria	Mesophilic	No	Facultative		Multiple	0.387262									
Lactobacillus fermentum IFO 3956	AP008937	Bacteria	Mesophilic		Facultative	Non-halophilic	Multiple	0.4499236									
Lactobacillus gasseri ATCC 33323	CP000413	Bacteria	Mesophilic	No	Facultative		Host-associated	0.3439931									
Lactobacillus helveticus DPC 4571	CP000517	Bacteria	Mesophilic	No	Facultative	Non-halophilic	Multiple	0.4577336									
Lactobacillus johnsonii NCC 533	AE017198	Bacteria	Mesophilic	No	Facultative		Host-associated	0.4501572									
Lactobacillus plantarum	AL935263	Bacteria	Mesophilic	No	Facultative		Host-associated	0.2965203									
Lactobacillus sakei 23K	CR936503	Bacteria	Mesophilic		Facultative		Multiple	0.4829984									
Lactobacillus salivarius UCC118	CP000233	Bacteria	Mesophilic		Facultative		Host-associated	0.4426161									
Lactococcus lactis	AE005176	Bacteria	Mesophilic	No	Facultative		Multiple	0.2243433									
Lactococcus lactis cremoris MG1363	AM406671	Bacteria	Mesophilic	No	Facultative	Non-halophilic	Multiple	0.2211975									
Lactococcus lactis cremoris SK11	CP000425	Bacteria	Mesophilic	No	Facultative		Multiple	0.2177238									
Legionella pneumophila Corby	CP000675	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.4484784									
Legionella pneumophila Lens	CR628337	Bacteria	Mesophilic	Animal	Aerobic		Host-associated	0.4188289									
Legionella pneumophila Paris	CR628336	Bacteria	Mesophilic	Animal	Aerobic		Host-associated	0.4368079									
Legionella pneumophila Philadelphia 1	AE017354	Bacteria	Mesophilic	Animal	Aerobic		Host-associated	0.3614854									
Leifsonia xyli xyli CTCB0	AE016822	Bacteria	Mesophilic	Plant	Aerobic		Host-associated	0.5852418									
Leptospira borgpetersenii serovar Hardjo-bovis JB197	CP000350	Bacteria	Mesophilic	"Cattle, Human"	Aerobic	Non-halophilic	Host-associated	0.5196644									
Leptospira borgpetersenii serovar Hardjo-bovis L550	CP000348	Bacteria	Mesophilic	"Cattle, Human"	Aerobic	Non-halophilic	Host-associated	0.5198747									
Leptospira interrogans serovar Copenhageni	AE016823	Bacteria	Mesophilic	Animal	Aerobic		Host-associated	0.5207568									
Leptospira interrogans serovar Lai	AE010300	Bacteria	Mesophilic	Animal	Aerobic		Host-associated	0.5219722									
Leptothrix cholodnii SP 6	CP001013	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.3879657									
Leuconostoc mesenteroides ATCC 8293	CP000414	Bacteria	Mesophilic	No	Facultative		Multiple	0.3771612									
Listeria monocytogenes 4b F2365	AE017262	Bacteria	Mesophilic	Human	Facultative		Multiple	0.3928319									
Listeria monocytogenes HCC23	CP001175	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3943434									
Listeria welshimeri serovar 6b SLCC5334	AM263198	Bacteria	Mesophilic	No	Facultative		Multiple	0.3832253									
Lysinibacillus sphaericus C3 41	CP000817	Bacteria	Mesophilic	Mosquito	Aerobic		Specialized	0.2520194									
Magnetococcus MC-1	CP000471	Bacteria		No	Facultative		Aquatic	0.4283861									
Magnetospirillum magneticum AMB-1	AP007255	Bacteria	Mesophilic	No	Microaerophilic		Aquatic	0.4706624									
Mannheimia succiniciproducens MBEL55E	AE016827	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Host-associated	0.3324557									
Maricaulis maris MCS10	CP000449	Bacteria	Mesophilic	No	Facultative	Mesophilic	Aquatic	0.45754									
Marinobacter aquaeolei VT8	CP000514	Bacteria	Mesophilic	No	Facultative	Moderate halophilic	Aquatic	0.3460974									
Marinomonas MWYL1	CP000749	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.2212272									
Mesoplasma florum L1	AE017263	Bacteria	Mesophilic	"Mammal, Insect, Plant"	Facultative		Host-associated	0.3884101									
Mesorhizobium BNC1	CP000390	Bacteria		No	Aerobic		Multiple	0.4779448									
Mesorhizobium loti	BA000012	Bacteria	Mesophilic	No	Aerobic		Multiple	0.5251807									
Metallosphaera sedula DSM 5348	CP000682	Archaea	Thermophilic	No	Aerobic		Specialized	0.3816241									
Methanobacterium thermoautotrophicum	AE000666	Archaea	Thermophilic	No	Anaerobic		Specialized	0.3646143									
Methanobrevibacter smithii ATCC 35061	CP000678	Archaea	Mesophilic		Anaerobic		Multiple	0.3600996									
Methanocaldococcus fervens AG86	CP001696	Archaea	Hyperthermophilic	No	Anaerobic		Specialized	0.3541076									
Methanocaldococcus FS406 22 uid42499	CP001901	Archaea	Hyperthermophilic	No	Anaerobic		Specialized	0.351618									
Methanocaldococcus infernus ME uid48803	CP002009	Archaea	Hyperthermophilic	No	Anaerobic		Specialized	0.3390782									
Methanocaldococcus vulcanius M7	CP001787	Archaea	Hyperthermophilic	No	Anaerobic		Specialized	0.3630771									
Methanococcoides burtonii DSM 6242	CP000300	Archaea	Mesophilic	No	Anaerobic	Moderate halophilic	Aquatic	0.2991737									
Methanococcus aeolicus Nankai-3	CP000743	Archaea	Mesophilic	No	Anaerobic		Aquatic	0.4019379									
Methanococcus jannaschii	L77117	Archaea	Hyperthermophilic	No	Anaerobic	Moderate halophilic	Aquatic	0.3528059									
Methanococcus maripaludis C5	CP000609	Archaea	Mesophilic	No	Anaerobic		Aquatic	0.4200201									
Methanococcus maripaludis C6	CP000867	Archaea	Mesophilic	No	Anaerobic		Aquatic	0.4195195									
Methanococcus maripaludis C7	CP000745	Archaea	Mesophilic		Anaerobic		Aquatic	0.4184015									
Methanococcus maripaludis S2	BX950229	Archaea	Mesophilic	No	Anaerobic		Aquatic	0.4202538									
Methanococcus vannielii SB	CP000742	Archaea	Mesophilic	No	Anaerobic	Non-halophilic	Aquatic	0.4081867									
Methanocorpusculum labreanum Z	CP000559	Archaea	Mesophilic	No	Anaerobic	Non-halophilic	Aquatic	0.2626732									
Methanoculleus marisnigri JR1	CP000562	Archaea	Mesophilic	No	Anaerobic		Aquatic	0.5546474									
Methanohalobium evestigatum Z 7303 uid49857	CP002069	Archaea	Thermophilic	No	Anaerobic	Extreme halophilic	Specialized	0.2724101									
Methanohalophilus mahii DSM 5219 uid47313	CP001994	Archaea	Mesophilic		Anaerobic	Moderate halophilic	Specialized	0.176502									
Methanopyrus kandleri	AE009439	Archaea	Hyperthermophilic	No	Anaerobic	Moderate halophilic	Specialized	0.3275973									
Methanosarcina acetivorans	AE010299	Archaea	Mesophilic	No	Anaerobic		Aquatic	0.3741717									
Methanosarcina barkeri fusaro	CP000099	Archaea	Mesophilic	No	Anaerobic		Multiple	0.2791673									
Methanosarcina mazei	AE008384	Archaea	Mesophilic	No	Anaerobic		Multiple	0.36548									
Methanosphaera stadtmanae	CP000102	Archaea	Mesophilic		Anaerobic		Host-associated	0.2898039									
Methanospirillum hungatei JF-1	CP000254	Archaea	Mesophilic	No	Anaerobic		Multiple	0.2376034									
Methylibium petroleiphilum PM1	CP000555	Bacteria	Mesophilic		Facultative		Aquatic	0.5846701									
Methylobacillus flagellatus KT	CP000284	Bacteria	Mesophilic		Aerobic		Specialized	0.4892565									
Methylobacterium 4 46	CP000943	Bacteria	Mesophilic	No	Facultative		Multiple	0.3250095									
Methylobacterium extorquens PA1	CP000908	Bacteria	Mesophilic	No	Facultative		Multiple	0.2378067									
Methylobacterium radiotolerans JCM 2831	CP001001	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Host-associated	0.3136272									
Methylococcus capsulatus Bath	AE017282	Bacteria	Thermophilic	No	Aerobic		Multiple	0.5016937									
Microcystis aeruginosa NIES 843	AP009552	Bacteria	Mesophilic	"Animal, Human"	Aerobic		Aquatic	0.3762381									
Moorella thermoacetica ATCC 39073	CP000232	Bacteria	Thermophilic		Anaerobic		Aquatic	0.5311042									
Mycobacterium avium 104	CP000479	Bacteria	Mesophilic	Mammal	Aerobic		Host-associated	0.5129325									
Mycobacterium avium paratuberculosis	AE016958	Bacteria	Mesophilic	Mammal	Aerobic		Multiple	0.4412155									
Mycobacterium bovis BCG Pasteur 1173P2	AM408590	Bacteria	Mesophilic	Bovine	Aerobic	Non-halophilic	Host-associated	0.4314507									
Mycobacterium JLS	CP000580	Bacteria	Mesophilic	No		Non-halophilic	Multiple	0.4423046									
Mycobacterium KMS	CP000518	Bacteria	Mesophilic	No		Non-halophilic	Multiple	0.442803									
Mycobacterium marinum M	CP000854	Bacteria	Mesophilic	"Fish, Human"	Aerobic		Multiple	0.4889927									
Mycobacterium smegmatis MC2 155	CP001663	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.5055463									
Mycobacterium tuberculosis CDC1551	AE000516	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.407892									
Mycobacterium tuberculosis F11	CP000717	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.4116792									
Mycobacterium tuberculosis H37Ra	CP000611	Bacteria		Human	Aerobic	Non-halophilic	Host-associated	0.411343									
Mycobacterium tuberculosis H37Rv	CP003248	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.7153578									
Mycobacterium ulcerans Agy99	CP000325	Bacteria	Mesophilic	Human	Aerobic	Non-halophilic	Host-associated	0.7229535									
Mycoplasma agalactiae PG2	CU179680	Bacteria	Psychrophilic	"Sheep, Goat"	Facultative		Host-associated	0.5641627									
Mycoplasma capricolum ATCC 27343	CP000123	Bacteria	Mesophilic	Ruminant	Facultative	Non-halophilic	Host-associated	0.3955081									
Mycoplasma gallisepticum	AE015450	Bacteria	Mesophilic	Avian	Facultative	Non-halophilic	Host-associated	0.3814429									
Mycoplasma genitalium	L43967	Bacteria	Mesophilic	"Human, Animal, Insect"	Facultative	Non-halophilic	Host-associated	0.5730248									
Mycoplasma hyopneumoniae 232	AE017332	Bacteria	Mesophilic	Swine	Facultative	Non-halophilic	Host-associated	0.3517425									
Mycoplasma hyopneumoniae 7448	AE017244	Bacteria	Mesophilic	Swine	Facultative	Non-halophilic	Host-associated	0.3525117									
Mycoplasma hyopneumoniae J	AE017243	Bacteria	Mesophilic	Swine	Facultative	Non-halophilic	Host-associated	0.3518803									
Mycoplasma mobile 163K	AE017308	Bacteria	Mesophilic	Fish	Facultative	Non-halophilic	Host-associated	0.5367728									
Mycoplasma mycoides	BX293980	Bacteria	Mesophilic	Cattle	Facultative	Non-halophilic	Host-associated	0.39566									
Mycoplasma penetrans	BA000026	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.5640727									
Mycoplasma pneumoniae	U00089	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.3326658									
Mycoplasma synoviae 53	AE017245	Bacteria	Mesophilic	Chicken	Facultative	Non-halophilic	Host-associated	0.4050125									
Myxococcus xanthus DK 1622	CP000113	Bacteria	Mesophilic	No	Aerobic		Terrestrial	0.3127924									
Nanoarchaeum equitans	AE017199	Archaea	Hyperthermophilic	No	Anaerobic		Host-associated	0.3123298									
Natrialba magadii ATCC 43099 uid46245	CP001932	Archaea	Mesophilic		Aerobic	Extreme halophilic	Specialized	0.3771515									
Natronomonas pharaonis	CR936257	Archaea			Aerobic	Moderate halophilic	Aquatic	0.4982604									
Neisseria gonorrhoeae FA 1090	AE004969	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3171453									
Neisseria meningitidis 053442	CP000381	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.2702384									
Neisseria meningitidis FAM18	AM421808	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.2708056									
Neisseria meningitidis MC58	AE002098	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3321189									
Neisseria meningitidis Z2491	AL157959	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.27055									
Neorickettsia sennetsu Miyayama	CP000237	Bacteria		Human			Multiple	0.4865179									
Nitratiruptor SB155-2	AP009178	Bacteria	Thermophilic		Anaerobic		Specialized	0.3107068									
Nitrobacter hamburgensis X14	CP000319	Bacteria	Mesophilic	No	Aerobic		Terrestrial	0.337857									
Nitrobacter winogradskyi Nb-255	CP000115	Bacteria	Mesophilic	No	Facultative		Terrestrial	0.5029853									
Nitrosococcus oceani ATCC 19707	CP000127	Bacteria				Mesophilic	Aquatic	0.3569609									
Nitrosomonas europaea	AL954747	Bacteria	Mesophilic	No	Aerobic		Multiple	0.5773401									
Nitrosomonas eutropha C71	CP000450	Bacteria					Multiple	0.3796176									
Nitrosopumilus maritimus SCM1	CP000866	Archaea	Mesophilic	No	Aerobic		Aquatic	0.6123508									
Nitrosospira multiformis ATCC 25196	CP000103	Bacteria	Mesophilic		Aerobic		Terrestrial	0.6226536									
Nocardia farcinica IFM10152	AP006618	Bacteria	Mesophilic	"Human, Animal"	Aerobic	Non-halophilic	Multiple	0.5029048									
Nocardioides JS614	CP000509	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Terrestrial	0.5218084									
Nostoc sp	BA000019	Bacteria	Mesophilic	No	Aerobic		Multiple	0.2616993									
Novosphingobium aromaticivorans DSM 12444	CP000248	Bacteria		No	Aerobic		Multiple	0.4211623									
Oceanobacillus iheyensis	BA000028	Bacteria	Mesophilic	No	Aerobic	Moderate halophilic	Multiple	0.3644699									
Ochrobactrum anthropi ATCC 49188	CP000758	Bacteria	Mesophilic	Human		Non-halophilic	Terrestrial	0.2863007									
Oenococcus oeni PSU-1	CP000411	Bacteria	Mesophilic	No	Facultative		Multiple	0.4219074									
Onion yellows phytoplasma	AP006628	Bacteria	Mesophilic	Onion	Aerobic		Host-associated	0.3896418									
Opitutus terrae PB90 1	CP001032	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.5331001									
Orientia tsutsugamushi Boryong	AM494475	Bacteria		Human			Host-associated	0.4898482									
Parabacteroides distasonis ATCC 8503	CP000140	Bacteria	Mesophilic	Mammal	Anaerobic		Host-associated	0.2269211									
Paracoccus denitrificans PD1222	CP000489	Bacteria	Mesophilic	No	Aerobic		Multiple	0.3672588									
Parvibaculum lavamentivorans DS-1	CP000774	Bacteria	Mesophilic	No	Aerobic		Multiple	0.419168									
Pasteurella multocida	AE004439	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.322824									
Pediococcus pentosaceus ATCC 25745	CP000422	Bacteria	Mesophilic	No	Facultative		Multiple	0.3809985									
Pelobacter carbinolicus	CP000142	Bacteria	Mesophilic	No	Anaerobic		Aquatic	0.3286432									
Pelobacter propionicus DSM 2379	CP000482	Bacteria	Mesophilic	No	Anaerobic	Non-halophilic	Multiple	0.2731188									
Pelotomaculum thermopropionicum SI	AP009389	Bacteria	Thermophilic	No	Anaerobic	Non-halophilic	Specialized	0.4633109									
Petrotoga mobilis SJ95	CP000879	Bacteria	Thermophilic	No	Anaerobic	Mesophilic	Specialized	0.4131541									
Picrophilus torridus DSM 9790	AE017261	Archaea	Thermophilic		Aerobic		Specialized	0.3908529									
Polaromonas JS666	CP000316	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Multiple	0.3938697									
Polaromonas naphthalenivorans CJ2	CP000529	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.5339811									
Polynucleobacter necessarius STIR1	CP001010	Bacteria	Mesophilic		Aerobic		Host-associated	0.5329778									
Polynucleobacter QLW-P1DMWA-1	CP000655	Bacteria	Mesophilic		Aerobic		Aquatic	0.3547197									
Porphyromonas gingivalis W83	AE015924	Bacteria	Mesophilic	Human	Anaerobic	Non-halophilic	Host-associated	0.260076									
Prochlorococcus marinus AS9601	CP000551	Bacteria	Mesophilic	No			Aquatic	0.2441803									
Prochlorococcus marinus CCMP1375	AE017126	Bacteria	Mesophilic				Aquatic	0.4161331									
Prochlorococcus marinus MED4	BX548174	Bacteria	Mesophilic				Aquatic	0.3559438									
Prochlorococcus marinus MIT 9211	CP000878	Bacteria	Mesophilic	No			Aquatic	0.3567468									
Prochlorococcus marinus MIT 9215	CP000825	Bacteria	Mesophilic	No		Non-halophilic	Aquatic	0.2447013									
Prochlorococcus marinus MIT 9301	CP000576	Bacteria	Mesophilic				Aquatic	0.3579339									
Prochlorococcus marinus MIT 9303	CP000554	Bacteria	Mesophilic	No			Aquatic	0.3412536									
Prochlorococcus marinus MIT 9312	CP000111	Bacteria	Mesophilic				Aquatic	0.1476838									
Prochlorococcus marinus MIT 9515	CP000552	Bacteria		No			Aquatic	0.5310382									
Prochlorococcus marinus MIT9313	BX548175	Bacteria	Mesophilic				Aquatic	0.3911107									
Prochlorococcus marinus NATL1A	CP000553	Bacteria	Mesophilic	No			Aquatic	0.533229									
Prochlorococcus marinus NATL2A	CP000095	Bacteria	Mesophilic				Aquatic	0.3040235									
Propionibacterium acnes KPA171202	AE017283	Bacteria	Mesophilic	Human	Anaerobic	Non-halophilic	Host-associated	0.6701412									
Prosthecochloris vibrioformis DSM 265	CP000607	Bacteria	Mesophilic	No	Facultative	Mesophilic	Aquatic	0.6649184									
Pseudoalteromonas atlantica T6c	CP000388	Bacteria	Mesophilic	Shellfish	Aerobic		Aquatic	0.2408063									
Pseudoalteromonas haloplanktis TAC125	CR954246	Bacteria	Psychrophilic	No	Aerobic	Mesophilic	Aquatic	0.1941546									
Pseudomonas aeruginosa	AE004091	Bacteria	Mesophilic	Human	Aerobic		Multiple	0.3597364									
Pseudomonas aeruginosa PA7	CP000744	Bacteria	Mesophilic	Human	Aerobic		Multiple	0.3644306									
Pseudomonas aeruginosa UCBPP-PA14	CP000438	Bacteria	Mesophilic	"Human, Animal, Plant"	Aerobic		Multiple	0.365									
Pseudomonas entomophila L48	CT573326	Bacteria		Insect			Multiple	0.2467532									
Pseudomonas fluorescens Pf-5	CP000076	Bacteria	Mesophilic	No	Aerobic		Multiple	0.2647996									
Pseudomonas fluorescens PfO-1	CP000094	Bacteria	Mesophilic	No	Aerobic		Multiple	0.2659879									
Pseudomonas mendocina ymp	CP000680	Bacteria		Human	Aerobic	Non-halophilic	Multiple	0.3028921									
Pseudomonas putida F1	CP000712	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Multiple	0.3446866									
Pseudomonas putida GB 1	CP000926	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Multiple	0.3424006									
Pseudomonas putida KT2440	AE015451	Bacteria	Mesophilic	No	Aerobic		Multiple	0.3373363									
Pseudomonas putida W619	CP000949	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Multiple	0.3354424									
Pseudomonas stutzeri A1501	CP000304	Bacteria	Mesophilic		Aerobic		Host-associated	0.330696									
Pseudomonas syringae pv B728a	CP000075	Bacteria	Mesophilic	Plant	Aerobic		Multiple	0.2763537									
Pseudomonas syringae tomato DC3000	AE016853	Bacteria	Mesophilic	Plant	Aerobic		Multiple	0.2556155									
Psychrobacter arcticum 273-4	CP000082	Bacteria	Psychrophilic	No			Specialized	0.2503092									
Psychrobacter cryohalolentis K5	CP000323	Bacteria	Psychrophilic			Moderate halophilic	Multiple	0.250726									
Psychrobacter PRwf-1	CP000713	Bacteria	Mesophilic		Aerobic		Aquatic	0.2297986									
Psychromonas ingrahamii 37	CP000510	Bacteria	Psychrophilic	No	Anaerobic		Aquatic	0.2302108									
Pyrobaculum aerophilum	AE009441	Archaea	Hyperthermophilic	No	Facultative		Aquatic	0.6965584									
Pyrobaculum arsenaticum DSM 13514	CP000660	Archaea	Hyperthermophilic	No	Anaerobic		Aquatic	0.7222034									
Pyrobaculum calidifontis JCM 11548	CP000561	Archaea	Hyperthermophilic	No	Facultative		Specialized	0.7370653									
Pyrobaculum islandicum DSM 4184	CP000504	Archaea	Thermophilic	No	Anaerobic		Specialized	0.6672419									
Pyrococcus abyssi	AL096836	Archaea	Hyperthermophilic	No	Anaerobic		Aquatic	0.6421959									
Pyrococcus furiosus	AE009950	Archaea	Hyperthermophilic	No	Anaerobic		Aquatic	0.6275618									
Pyrococcus horikoshii	BA000001	Archaea	Hyperthermophilic	No	Anaerobic		Aquatic	0.6258189									
Ralstonia solanacearum	AL646052	Bacteria	Mesophilic	Plant	Aerobic		Multiple	0.3427436									
Rhizobium etli CFN 42	CP000133	Bacteria	Mesophilic	No	Aerobic		Host-associated	0.3495351									
Rhizobium leguminosarum bv viciae 3841	AM236080	Bacteria	Mesophilic	No	Aerobic		Host-associated	0.3565067									
Rhodobacter sphaeroides 2 4 1	CP000143	Bacteria	Mesophilic	No	Facultative		Multiple	0.3786188									
Rhodobacter sphaeroides ATCC 17025	CP000661	Bacteria	Mesophilic	No	Facultative		Multiple	0.2852302									
Rhodobacter sphaeroides ATCC 17029	CP000577	Bacteria	Mesophilic	No	Facultative		Multiple	0.2884956									
Rhodococcus RHA1	CP000431	Bacteria	Mesophilic		Aerobic	Non-halophilic	Terrestrial	0.4611381									
Rhodoferax ferrireducens T118	CP000267	Bacteria	Mesophilic	No	Facultative		Multiple	0.3193337									
Rhodopseudomonas palustris BisA53	CP000463	Bacteria	Mesophilic	No	Facultative		Multiple	0.5445732									
Rhodopseudomonas palustris BisB18	CP000301	Bacteria	Mesophilic	No	Facultative		Multiple	0.4870007									
Rhodopseudomonas palustris BisB5	CP000283	Bacteria	Mesophilic	No	Facultative		Multiple	0.3795791									
Rhodopseudomonas palustris HaA2	CP000250	Bacteria	Mesophilic	No	Facultative		Multiple	0.4724275									
Rhodospirillum rubrum ATCC 11170	CP000230	Bacteria	Mesophilic	No	Facultative		Multiple	0.2938039									
Rickettsia akari Hartford	CP000847	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.4881188									
Rickettsia bellii RML369-C	CP000087	Bacteria					Host-associated	0.3411239									
Rickettsia canadensis McKiel	CP000409	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.4868352									
Rickettsia conorii	AE006914	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.4883227									
Rickettsia felis URRWXCal2	CP000053	Bacteria		"Human, Feline"			Host-associated	0.486492									
Rickettsia massiliae MTU5	CP000683	Bacteria	Mesophilic		Aerobic		Host-associated	0.4879572									
Rickettsia rickettsii Iowa	CP000766	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3290838									
Rickettsia rickettsii Sheila Smith	CP000848	Bacteria	Mesophilic	Human	Aerobic		Host-associated	0.3301342									
Rickettsia typhi wilmington	AE017197	Bacteria	Mesophilic	"Human, Rodent"	Aerobic		Host-associated	0.4850817									
Roseiflexus castenholzii DSM 13941	CP000804	Bacteria	Thermophilic	No	Facultative		Aquatic	0.5045624									
Roseiflexus RS-1	CP000686	Bacteria	Thermophilic		Facultative		Specialized	0.5171608									
Roseobacter denitrificans OCh 114	CP000362	Bacteria	Mesophilic	No			Multiple	0.5424917									
Rubrobacter xylanophilus DSM 9941	CP000386	Bacteria	Thermophilic	No	Aerobic		Specialized	0.7933413									
Saccharophagus degradans 2-40	CP000282	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.4083683									
Saccharopolyspora erythraea NRRL 2338	AM420293	Bacteria	Mesophilic	No	Aerobic		Terrestrial	0.5013724									
Salinibacter ruber DSM 13855	CP000159	Bacteria	Mesophilic	No	Aerobic	Extreme halophilic	Specialized	0.7952379									
Salinispora arenicola CNS-205	CP000850	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.3378187									
Salinispora tropica CNB-440	CP000667	Bacteria	Mesophilic	No	Aerobic	Mesophilic	Aquatic	0.339118									
Salmonella enterica arizonae serovar 62 z4 z23  	CP000880	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.3567233									
Salmonella enterica Choleraesuis	AE017220	Bacteria	Mesophilic	"Human, Animal"	Facultative		Host-associated	0.3631502									
Salmonella enterica Paratypi ATCC 9150	CP000026	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3505747									
Salmonella enterica serovar Paratyphi B SPB7	CP000886	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.351851									
Salmonella typhi	AL513382	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3371634									
Salmonella typhi Ty2	AE014613	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3891953									
Salmonella typhimurium LT2	AE006468	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3576117									
Serratia proteamaculans 568	CP000826	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Multiple	0.3713793									
Shewanella amazonensis SB2B	CP000507	Bacteria	Mesophilic		Facultative		Multiple	0.2761051									
Shewanella ANA-3	CP000469	Bacteria	Mesophilic		Facultative		Multiple	0.2438061									
Shewanella baltica OS155	CP000563	Bacteria	Mesophilic		Facultative		Aquatic	0.233582									
Shewanella baltica OS185	CP000753	Bacteria	Mesophilic	No	Facultative		Aquatic	0.2747553									
Shewanella baltica OS195	CP000891	Bacteria	Mesophilic		Facultative		Aquatic	0.2161274									
Shewanella denitrificans OS217	CP000302	Bacteria	Mesophilic		Facultative		Aquatic	0.2712353									
Shewanella frigidimarina NCIMB 400	CP000447	Bacteria	Mesophilic		Facultative		Multiple	0.3293508									
Shewanella loihica PV-4	CP000606	Bacteria	Mesophilic		Facultative		Multiple	0.2727875									
Shewanella MR-4	CP000446	Bacteria	Mesophilic		Facultative		Multiple	0.2296706									
Shewanella MR-7	CP000444	Bacteria	Mesophilic		Facultative		Aquatic	0.2389561									
Shewanella oneidensis	AE014299	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2358521									
Shewanella putrefaciens CN-32	CP000681	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2993352									
Shewanella sediminis HAW-EB3	CP000821	Bacteria	Psychrophilic	No	Facultative	Mesophilic	Aquatic	0.2225464									
Shewanella W3-18-1	CP000503	Bacteria	Mesophilic	Human	Facultative		Multiple	0.2948798									
Shewanella woodyi ATCC 51908	CP000961	Bacteria	Mesophilic	No	Facultative	Non-halophilic	Multiple	0.191399									
Shigella boydii CDC 3083 94	CP001063	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.2693574									
Shigella boydii Sb227	CP000036	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.3662973									
Shigella dysenteriae	CP000034	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.3876907									
Shigella flexneri 2a 301	AE005674	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.2924907									
Shigella flexneri 2a 2457T	AE014073	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3810227									
Shigella sonnei Ss046	CP000038	Bacteria	Mesophilic	Human	Facultative	Non-halophilic	Host-associated	0.300092									
Sinorhizobium medicae WSM419	CP000738	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Multiple	0.3716433									
Sinorhizobium meliloti	AL591688	Bacteria	Mesophilic	No	Aerobic		Multiple	0.3737736									
Sodalis glossinidius morsitans	AP008232	Bacteria	Mesophilic	No	Microaerophilic	Non-halophilic	Host-associated	0.3673141									
Solibacter usitatus Ellin6076	CP000473	Bacteria	Mesophilic	No	Aerobic	Non-halophilic	Terrestrial	0.4765964									
Sphingomonas wittichii RW1	CP000699	Bacteria	Mesophilic	No	Aerobic		Aquatic	0.5107821									
Sphingopyxis alaskensis RB2256	CP000356	Bacteria			Aerobic		Aquatic	0.441478									
Staphylococcus aureus aureus MRSA252	BX571856	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.3735787									
Staphylococcus aureus aureus MSSA476	BX571857	Bacteria	Mesophilic	Human	Facultative		Host-associated	0.374703									
