Prokaryote Name	Tax ID	Average CAI	Median CAI	Coefficient of Variation (of CAI)	Nc Difference	Average Nc	Salinity	Oxygen Requirment	Habitat	Temp. Range	Pathogenic	Present in the trimmed list	Super Kingdom	GC content (%)
Clostridium difficile 630	272563	0.601938757	0.606	0.129967287	0.127967065	36.3484929	Non-halophilic	Anaerobic	Multiple	Mesophilic	Human	Yes	Bacteria	0.290584075
Clostridium difficile CD196	645462	0.609930341	0.609	0.111870656	0.110233544	35.86758607		Anaerobic	Multiple	Mesophilic	Human	No	Bacteria	0.285631815
Clostridium difficile R20291	645463	0.609926829	0.612	0.122351097	0.113863582	36.07406616		Anaerobic	Multiple	Mesophilic	Human	No	Bacteria	0.288073958
Clostridium kluyveri DSM 555	431943	0.628113848	0.646	0.138844454	0.123597146	41.63325113	Non-halophilic	Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.320402356
Clostridium novyi NT	386415	0.718159692	0.719	0.074006491	0.043459164	35.28574796		Anaerobic	Terrestrial			Yes	Bacteria	0.288556827
Clostridium perfringens	195102	0.640862083	0.634	0.10181394	0.047715978	34.12840195	Non-halophilic	Anaerobic	Multiple	Mesophilic	"Human, Animal"	No	Bacteria	0.285120263
Clostridium perfringens ATCC 13124	195103	0.637488742	0.63	0.106012543	0.047087938	34.25900039	Non-halophilic	Anaerobic	Multiple	Mesophilic	"Human, Animal"	No	Bacteria	0.283791514
Clostridium perfringens SM101	289380	0.629047373	0.62	0.113699529	0.039654433	34.21929242	Non-halophilic	Anaerobic	Multiple	Mesophilic	"Human, Animal"	No	Bacteria	0.282309175
Clostridium perfringens SM101 uid12521	289380	0.629047373	0.62	0.113699529	0.039654433	34.21929242	Non-halophilic	Anaerobic	Multiple	Mesophilic	"Human, Animal"	Yes	Bacteria	0.282309175
Clostridium phytofermentans ISDg	357809	0.585608779	0.58	0.110664327	0.155452028	46.54173306		Anaerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.353485255
Clostridium tetani E88	212717	0.684978592	0.69	0.087200334	0.047434959	36.09408728	Non-halophilic	Anaerobic	Multiple	Mesophilic	Human	Yes	Bacteria	0.286404674
Clostridium thermocellum ATCC 27405	203119	0.708662213	0.712	0.061063639	0.049607162	50.0855543		Anaerobic	Multiple	Thermophilic	No	Yes	Bacteria	0.389865899
Colwellia psychrerythraea 34H	167879	0.531802506	0.522	0.12516566	0.193009428	46.83709408		Facultative	Specialized	Psychrophilic	No	Yes	Bacteria	0.38005427
Conexibacter woesei DSM 14684 uid43467	469383	0.738362361	0.753	0.10292197	-0.028101286	29.95913044		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.727334269
Coprothermobacter proteolyticus DSM 5265	309798	0.773776911	0.774	0.025810297	0.010865141	54.94924181		Anaerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.447701332
Coraliomargarita akajimensis DSM 45221 uid47079	583355	0.602800831	0.598	0.126228876	0.141300007	49.42112193		Aerobic	Aquatic	Mesophilic		Yes	Bacteria	0.536017795
Corynebacterium aurimucosum ATCC 700975	548476	0.426159914	0.407	0.285874227	0.287407828	41.94663836		Facultative	Host-associated	Mesophilic		Yes	Bacteria	0.6055882
Corynebacterium diphtheriae	257309	0.379527174	0.351	0.289319836	0.29404851	48.45558202		Aerobic	Multiple	Mesophilic	Human	Yes	Bacteria	0.534785133
Corynebacterium efficiens YS-314	196164	0.481109503	0.47	0.268865928	0.187961933	38.4501752		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.629738112
Corynebacterium glutamicum ATCC 13032 Bielefeld	196627	0.403070593	0.373	0.316304333	0.304215342	47.05897001		Facultative	Multiple	Mesophilic	No	Yes	Bacteria	0.538417672
Corynebacterium glutamicum ATCC 13032 Kitasato	196627	0.403877372	0.374	0.31702593	0.3008016	46.98377555		Facultative	Multiple	Mesophilic	No	No	Bacteria	0.53793863
Corynebacterium glutamicum R	340322	0.408553161	0.382	0.312873892	0.293055302	46.81600898		Facultative	Multiple	Mesophilic		No	Bacteria	0.541301177
Corynebacterium jeikeium K411	306537	0.436642174	0.418	0.309346377	0.246987492	40.18214343	Non-halophilic	Facultative	Multiple	Mesophilic	Human	Yes	Bacteria	0.613513607
Corynebacterium kroppenstedtii DSM 44385	645127	0.485304511	0.473	0.165584287	0.252531144	49.78180934		Facultative	Host-associated	Mesophilic	No	Yes	Bacteria	0.574598538
Corynebacterium pseudotuberculosis uid50585	765874	0.376920126	0.355	0.231319044	0.335823931	53.8447031						Yes	Bacteria	0.521852182
Corynebacterium urealyticum DSM 7109	504474	0.479775026	0.467	0.282985591	0.177997067	37.41616228		Aerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.641852442
Coxiella burnetii	227377	0.771335124	0.775	0.04480921	-0.037070573	52.19425453		Facultative	Multiple	Mesophilic	"Animal, Human"	Yes	Bacteria	0.425988624
Coxiella burnetii CbuG Q212	434923	0.775461126	0.778	0.043501685	-0.033649316	52.3311689		Facultative	Multiple	Mesophilic	"Animal, Human"	No	Bacteria	0.426331221
Coxiella burnetii CbuK Q154	434924	0.772077914	0.775	0.044493412	-0.0336652	52.36760528		Facultative	Multiple	Mesophilic	"Animal, Human"	No	Bacteria	0.426169865
Coxiella burnetii Dugway 7E9-12	434922	0.768730815	0.772	0.04589006	-0.032927019	52.33317566		Facultative	Host-associated	Mesophilic	"Animal, Human"	No	Bacteria	0.423710661
Coxiella burnetii RSA 331	360115	0.765332898	0.771	0.047043477	-0.034576034	52.07030679		Facultative	Multiple	Mesophilic	"Animal, Human"	No	Bacteria	0.427018168
Croceibacter atlanticus HTCC2559 uid49661	216432	0.704861334	0.705	0.067677758	0.041840845	42.57510812		Aerobic	Aquatic		No	Yes	Bacteria	0.339000299
Cronobacter turicensis	413502	0.450348042	0.442	0.187864666	0.159176086	41.29966292		Facultative				No	0.572501256	41.29966292
Cryptobacterium curtum DSM 15641	469378	0.661450965	0.66	0.078440367	0.149741306	51.61821945		Anaerobic			Human	Yes	Bacteria	0.509115443
Cupriavidus metallidurans CH34 uid250	266264	0.530742208	0.531	0.204031041	0.159951598	39.43729774		Facultative	Specialized	Mesophilic	No	Yes	Bacteria	0.635309905
Cupriavidus taiwanensis	164546	0.588678032	0.607	0.19775438	0.085173816	34.08699832		Facultative	Host-associated	Mesophilic	No	Yes	Bacteria	0.669898935
Cyanobacteria bacterium Yellowstone A-Prime	321327	0.642969992	0.652	0.108007746	0.03391949	44.17950719		Facultative	Specialized	Thermophilic	No	Yes	Bacteria	0.602373323
Cyanobacteria bacterium Yellowstone B-Prime	321332	0.648045679	0.654	0.087793739	0.041925608	46.05426337		Facultative	Specialized	Thermophilic	No	No	Bacteria	0.584503788
cyanobacterium UCYN A uid43697	713887	0.683369115	0.685	0.042881956	-0.037920426	40.99253107						Yes	Bacteria	0.311167844
Cyanothece ATCC 51142	43989	0.721709014	0.725	0.05618755	-0.076029311	45.12212938		Facultative	Aquatic	Mesophilic	No	Yes	Bacteria	0.379419406
Cyanothece PCC 7424	65393	0.703827351	0.709	0.060453992	-0.065915671	45.99124422		Facultative	Aquatic	Mesophilic	No	No	Bacteria	0.385098096
Cyanothece PCC 7425	395961	0.668622178	0.675	0.081349949	0.047759076	50.96973263		Facultative	Aquatic	Mesophilic	No	No	Bacteria	0.506484149
Cyanothece PCC 8801	41431	0.708646684	0.713	0.056680628	-0.065881332	46.57315756		Facultative	Aquatic	Mesophilic	No	Yes	Bacteria	0.397578458
Cyanothece PCC 8802	395962	0.710563079	0.715	0.055510981	-0.060142012	46.61461174		Facultative	Aquatic	Mesophilic	No	No	Bacteria	0.398179101
Cytophaga hutchinsonii ATCC 33406	269798	0.57260122	0.567	0.097576477	0.148615239	49.14600203		Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.388464542
Dechloromonas aromatica RCB	159087	0.58020103	0.578	0.186073276	0.103820452	42.87158764		Facultative	Multiple		No	Yes	Bacteria	0.592472202
Deferribacter desulfuricans SSM1 uid46653	639282	0.705152665	0.705	0.070155123	0.040979359	39.62425926		Anaerobic	Specialized	Thermophilic		Yes	Bacteria	0.303108261
Dehalococcoides BAV1	216389	0.696022594	0.698	0.061548901	0.032992381	50.91691967		Anaerobic				Yes	Bacteria	0.471725742
Dehalococcoides CBDB1	255470	0.702323314	0.704	0.060063791	0.027592819	50.84516409	Mesophilic	Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.470258731
Dehalococcoides ethenogenes 195	243164	0.707198302	0.711	0.068786917	0.012190768	49.07504784	Mesophilic	Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.488502572
Dehalococcoides GT uid42115	633145	0.705645215	0.71	0.066312938	0.028830411	51.03065924		Anaerobic	Aquatic	Mesophilic		Yes	Bacteria	0.473144953
Dehalococcoides VS	311424	0.698924121	0.7015	0.066668679	0.045060524	50.62052716	Non-halophilic	Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.472713805
Dehalogenimonas lykanthroporepellens BL DC 9 uid48131	552811	0.668494421	0.682	0.119484146	0.001801312	46.05696095		Anaerobic		Mesophilic		Yes	Bacteria	0.550443816
Deinococcus deserti VCD115	546414	0.451814952	0.447	0.220171799	0.269211874	41.98500309		Aerobic	Terrestrial	Mesophilic		Yes	Bacteria	0.629702679
Deinococcus geothermalis DSM 11300	319795	0.593224023	0.598	0.122848611	0.093691327	38.93666291		Aerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.664719957
Deinococcus radiodurans	243230	0.516509718	0.525	0.203126611	0.199059614	37.28816153		Aerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.666143534
Delftia acidovorans SPH-1	398578	0.624214361	0.639	0.170227653	-0.004860762	34.05075212	Non-halophilic	Aerobic	Multiple	Mesophilic		Yes	Bacteria	0.66476257
Denitrovibrio acetiphilus DSM 12809 uid46657	522772	0.659700405	0.658	0.070580082	0.091002602	50.31642289		Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.425366309
Desulfatibacillum alkenivorans AK 01	439235	0.63088374	0.635	0.106780563	-0.011065858	45.31470149		Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.544845976
Desulfitobacterium hafniense DCB 2	272564	0.659490349	0.659	0.060789953	0.057952635	51.80705032		Anaerobic	Specialized	Mesophilic	No	No	Bacteria	0.475373423
Desulfitobacterium hafniense Y51	138119	0.654809634	0.656	0.067518512	0.057970633	51.98404754		Anaerobic	Specialized	Mesophilic		Yes	Bacteria	0.473598935
Desulfobacterium autotrophicum HRM2	177437	0.700977667	0.705	0.053556937	0.001769336	50.4303104		Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.487636498
Desulfohalobium retbaense DSM 5692	485915	0.722875383	0.734	0.088840575	-0.058971057	46.85212768	Moderate halophilic	Anaerobic	Specialized	Mesophilic	No	Yes	Bacteria	0.573307987
Desulfomicrobium baculatum DSM 4028	525897	0.704026735	0.711	0.104208031	-0.124960541	42.82045321		Anaerobic	Terrestrial	Mesophilic	No	Yes	Bacteria	0.586469987
Desulfotalea psychrophila LSv54	177439	0.570170242	0.564	0.101453735	0.108445673	51.11374671		Anaerobic	Specialized	Psychrophilic	No	Yes	Bacteria	0.466316031
Desulfotomaculum acetoxidans DSM 771	485916	0.732699084	0.736	0.048386692	0.011112361	51.87462844		Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.415548448
Desulfotomaculum reducens MI-1	349161	0.57923761	0.574	0.082513484	0.100469064	52.3215	Moderate halophilic	Anaerobic	Aquatic	Mesophilic	No	Yes	Bacteria	0.422752504
Desulfovibrio desulfuricans ATCC 27774	525146	0.556158457	0.555	0.143651263	0.143159995	44.26092658		Anaerobic	Multiple	Mesophilic	No	No	Bacteria	0.580721624
Desulfovibrio desulfuricans G20	207559	0.56080405	0.557	0.123214742	0.112513135	44.72973122		Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.578361346
Desulfovibrio magneticus RS 1	573370	0.593910804	0.634	0.250130539	0.085080762	38.62869544		Anaerobic				Yes	Bacteria	0.626743259
Desulfovibrio salexigens DSM 2638	526222	0.523139482	0.506	0.194859613	0.159021261	49.88334899		Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.470927518
Desulfovibrio vulgaris  Miyazaki F 	883	0.622718539	0.63	0.160728473	0.018093662	33.02912618		Anaerobic	Multiple	Mesophilic	No	No	Bacteria	0.671089601
Desulfovibrio vulgaris DP4	391774	0.574807584	0.572	0.173323429	0.127845941	40.98691784		Anaerobic	Multiple	Mesophilic	No	No	Bacteria	0.631570351
Desulfovibrio vulgaris Hildenborough	882	0.579669045	0.577	0.170044186	0.122312746	40.8935525		Anaerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.63278913
Desulfurivibrio alkaliphilus AHT2 uid49487	589865	0.696348222	0.708	0.105444708	-0.042904299	40.41033044	Mesophilic	Anaerobic	Specialized	Mesophilic		Yes	Bacteria	0.602863098
Desulfurococcus kamchatkensis 1221n	490899	0.715573566	0.717	0.041334454	0.046225565	51.42781962		Anaerobic	Aquatic	Hyperthermophilic	No	Yes	Archaea	0.453391131
Diaphorobacter TPSY	535289	0.669347411	0.684	0.149142597	-0.017073639	33.95372041		Facultative	Aquatic	Mesophilic	No	Yes	Bacteria	0.668339842
Diaphorobacter TPSY uid29975	535289	0.640011714	0.651	0.153992315	-0.02514192	33.95372041		Facultative	Aquatic	Mesophilic	No	No	Bacteria	0.668339842
Dichelobacter nodosus VCS1703A	246195	0.671524871	0.6745	0.08008245	-0.000921238	43.79993139		Anaerobic	Host-associated	Mesophilic	Animal	Yes	Bacteria	0.443957566
Dickeya dadantii Ech586	590409	0.56677769	0.56	0.134646949	0.164571343	46.78409939		Facultative	Multiple	Mesophilic	Plant	No	Bacteria	0.536390756
Dickeya dadantii Ech703	579405	0.461502612	0.456	0.16687504	0.187732753	45.18305774		Facultative	Multiple	Mesophilic	Plant	Yes	Bacteria	0.550150766
Dickeya zeae Ech1591	561229	0.460670013	0.45	0.175521673	0.182480257	45.21837041		Facultative			Plant	Yes	Bacteria	0.545172537
Dictyoglomus thermophilum H 6 12	309799	0.694501444	0.699	0.062206454	0.031818143	40.52438475		Anaerobic	Aquatic	Thermophilic	No	Yes	Bacteria	0.337409891
Dictyoglomus turgidum DSM 6724	515635	0.692262285	0.696	0.054697856	0.023422123	40.72521376		Anaerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.339573498
Dinoroseobacter shibae DFL 12	398580	0.621733092	0.639	0.165332127	0.106186544	38.56591637		Aerobic		Mesophilic		Yes	Bacteria	0.655246377
Dyadobacter fermentans DSM 18053	471854	0.549673612	0.543	0.082478082	0.075102771	48.55746297		Aerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.515449949
Edwardsiella ictaluri 93 146	634503	0.465303626	0.458	0.173974196	0.144628544	41.81339648		Facultative	Aquatic	Mesophilic	Catfish	Yes	Bacteria	0.574366756
Edwardsiella tarda EIB202	498217	0.462448816	0.455	0.18602697	0.089024163	39.03459153		Facultative	Multiple	Mesophilic	"Fish, Human, Animals"	Yes	Bacteria	0.597067268
Eggerthella lenta DSM 2243	479437	0.625705632	0.64	0.207271178	0.080580195	35.32671803		Anaerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.642045999
Ehrlichia canis Jake	269484	0.668710618	0.678	0.098246367	0.019082897	38.48381097			Host-associated		Dog	Yes	Bacteria	0.289577424
Ehrlichia chaffeensis Arkansas	205920	0.657919903	0.67	0.105796564	0.042049589	39.73419539			Host-associated		"Human, Animal"	Yes	Bacteria	0.301007101
Ehrlichia ruminantium Gardel	302409	0.673700472	0.68	0.090400023	0.037109078	38.64377005			Host-associated	Mesophilic	Ruminant	No	Bacteria	0.275126007
Ehrlichia ruminantium str. Welgevonden	254945	0.675428235	0.682	0.088141571	0.029810514	38.71623765			Host-associated	Mesophilic	Ruminant	No	Bacteria	0.274788711
Ehrlichia ruminantium str. Welgevonden CIRAD	254945	0.675428235	0.682	0.088141571	0.029810514	38.71623765			Host-associated	Mesophilic	Ruminant	No	Bacteria	0.274788711
Ehrlichia ruminantium Welgevonden	254945	0.672595694	0.678	0.088862462	0.031511859	38.6423433			Host-associated	Mesophilic	Ruminant	Yes	Bacteria	0.274787896
Ehrlichia ruminantium Welgevonden UPSA	254945	0.672595694	0.678	0.088862462	0.031511859	38.6423433			Host-associated	Mesophilic	Ruminant	No	Bacteria	0.274787896
Elusimicrobium minutum Pei191	445932	0.674202867	0.674	0.065636027	0.108054642	47.9920172		Anaerobic	Host-associated	Mesophilic		Yes	Bacteria	0.399521284
Enterobacter 638	399742	0.456317644	0.446	0.185077159	0.204572169	46.33712269			Host-associated			Yes	Bacteria	0.529004091
Enterobacter cloacae ATCC 13047 uid48363	716541	0.582444187	0.579	0.153386791	0.138279394	44.66070542		Facultative	Multiple	Mesophilic		Yes	Bacteria	0.545839239
Enterobacter sakazakii ATCC BAA-894	290339	0.443557768	0.435	0.181439593	0.170112359	41.49306681	Non-halophilic	Anaerobic	Host-associated	Mesophilic	Human	Yes	Bacteria	0.567337346
Enterococcus faecalis V583	226185	0.535150198	0.528	0.141105914	0.192208278	45.49596227		Facultative	Multiple	Mesophilic	Human	Yes	Bacteria	0.373811524
Erwinia amylovora ATCC 49946 uid46943	716540	0.479643347	0.475	0.167239846	0.162776562	46.58917882		Facultative	Host-associated	Mesophilic	Maloid fruit trees	No	Bacteria	0.536143961
Erwinia amylovora CFBP1430 uid46839	665029	0.482696284	0.477	0.162366243	0.159066587	46.41674932						Yes	Bacteria	0.53577126
Erwinia billingiae Eb661 uid50547	634500	0.491531784	0.486	0.16582564	0.098368333	43.72923399				Mesophilic		Yes	Bacteria	0.550411297
Erwinia carotovora atroseptica SCRI1043	218491	0.467198712	0.458	0.155903412	0.202473918	49.09629187	Non-halophilic	Facultative	Multiple	Mesophilic	Plant	Yes	Bacteria	0.509673246
Erwinia pyrifoliae Ep1 96	634499	0.475854478	0.473	0.164920031	0.155410359	46.41447419		Facultative		Mesophilic	Asian pear	No	Bacteria	0.533866912
Erwinia pyrifoliae Ep1 96 uid40659	634499	0.475782717	0.473	0.165140984	0.155414411	46.41471993		Facultative		Mesophilic	Asian pear	Yes	Bacteria	0.533812965
Erwinia tasmaniensis	465817	0.459519409	0.453	0.176150866	0.159175909	46.56890018		Facultative	Host-associated	Mesophilic	No	Yes	Bacteria	0.533906492
Erythrobacter litoralis HTCC2594	314225	0.572384301	0.58	0.146047258	0.162338968	40.29241629		Aerobic	Aquatic		No	Yes	Bacteria	0.63068512
Escherichia coli 0127 H6 E2348 69	574521	0.423477713	0.409	0.216007789	0.259011435	47.4174874		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.50519461
Escherichia coli 536	362663	0.419852948	0.405	0.219496916	0.265898235	47.59493536		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.50517522
Escherichia coli 55989	585055	0.422356871	0.407	0.217598079	0.261546984	47.46093509		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.50656293
Escherichia coli APEC O1	405955	0.42388855	0.41	0.208182476	0.25863869	48.18230622		Facultative	Host-associated	Mesophilic	Avian	No	Bacteria	0.50339289
Escherichia coli B REL606	585056	0.426576657	0.411	0.218228934	0.257728884	47.22257077		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.506666425
Escherichia coli BL21 DE3	469008	0.429270038	0.413	0.216759392	0.256482136	47.02885557		Facultative	Host-associated	Mesophilic		No	Bacteria	0.508405496
Escherichia coli BL21 DE3 	469008	0.495717052	0.482	0.189939446	0.219589144	47.02885557		Facultative	Host-associated	Mesophilic		No	Bacteria	0.508405496
Escherichia coli BW2952	595496	0.423774824	0.407	0.223218291	0.252250711	47.05868014		Facultative	Multiple	Mesophilic		No	Bacteria	0.507906781
Escherichia coli C ATCC 8739	481805	0.429294748	0.413	0.214615393	0.255365899	46.96224432	Non-halophilic	Facultative	Host-associated	Mesophilic		No	Bacteria	0.508665215
Escherichia coli CFT073	199310	0.424314286	0.411	0.202416615	0.269064002	47.81032936		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.504775051
Escherichia coli DH10B	316385	0.426405754	0.41	0.219605839	0.252847059	47.16798656		Facultative	Host-associated	Mesophilic	No	No	Bacteria	0.507813155
Escherichia coli E24377A	331111	0.424720986	0.41	0.214850137	0.258661964	47.30678512		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.505624288
Escherichia coli ED1a	585397	0.420761083	0.405	0.213164529	0.263879951	47.5674545		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.507338206
Escherichia coli HS	331112	0.429454932	0.413	0.215518129	0.254917169	47.03641718		Facultative	Host-associated	Mesophilic		No	Bacteria	0.508196231
Escherichia coli IAI1	585034	0.426633506	0.41	0.21678625	0.256513184	47.12011636		Facultative	Multiple	Mesophilic		No	Bacteria	0.507936714
Escherichia coli IAI39	585057	0.420936265	0.405	0.215511069	0.26508915	47.63062018		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.506305256
Escherichia coli K 12 substr  DH10B	316385	0.426399839	0.41	0.219626257	0.252835874	47.16728529		Facultative	Host-associated	Mesophilic	No	No	Bacteria	0.507813155
Escherichia coli K 12 substr  MG1655	511145	0.421620266	0.405	0.224304709	0.253081429	47.10419849		Facultative	Host-associated	Mesophilic	No	No	Bacteria	0.508254258
Escherichia coli K 12 substr  W3110	316407	0.421488092	0.405	0.224824833	0.253608986	47.13702198		Facultative	Host-associated	Mesophilic		No	Bacteria	0.50799577
Escherichia coli K12	511145	0.421472765	0.405	0.224419838	0.25348882	47.1299583		Facultative	Host-associated	Mesophilic	No	No	Bacteria	0.508254258
Escherichia coli K12 substr  MG1655	511145	0.421477196	0.405	0.224397812	0.253521598	47.13201329		Facultative	Host-associated	Mesophilic	No	No	Bacteria	0.507896997
Escherichia coli O103 H2 12009	585395	0.419450601	0.4055	0.217730568	0.26053112	47.39600089		Facultative		Mesophilic	Human	No	Bacteria	0.506340613
Escherichia coli O111 H  11128	585396	0.416374679	0.402	0.219532895	0.264315937	47.623821		Facultative		Mesophilic	Human	No	Bacteria	0.504363362
Escherichia coli O157 H7 EC4115	444450	0.419192931	0.404	0.215424359	0.25815161	47.31057969		Facultative	Multiple	Mesophilic	Human	Yes	Bacteria	0.504077981
Escherichia coli O157 H7 TW14359	544404	0.416624127	0.403	0.219213481	0.260126486	47.43920506		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.504628618
Escherichia coli O157H7	386585	0.414095923	0.4	0.223504087	0.263074248	47.47046915		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.50484165
Escherichia coli O157H7 EDL933	155864	0.414914793	0.401	0.220661474	0.262498352	47.53896468		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.503975058
Escherichia coli O26 H11 11368	573235	0.417173446	0.404	0.216608776	0.26046049	47.37432561		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.506534782
Escherichia coli O55 H7 CB9615 uid46655	701177	0.417543351	0.403	0.218944359	0.263051378	47.53778616		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.505030764
Escherichia coli S88	585035	0.421703191	0.406	0.213417867	0.264994777	47.57622595		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.506450004
Escherichia coli SE11	409438	0.421302665	0.407	0.219712106	0.262781854	47.43603337	Non-halophilic	Facultative	Host-associated	Mesophilic		No	Bacteria	0.507446041
Escherichia coli SECEC SMS 3 5	439855	0.42088881	0.406	0.215895088	0.263345303	47.41277619		Facultative	Multiple	Mesophilic	No	No	Bacteria	0.504924764
Escherichia coli SMS 3 5	439855	0.42088881	0.406	0.215895088	0.263345303	47.41277619		Facultative	Multiple	Mesophilic	No	No	Bacteria	0.504924764
Escherichia coli UMN026	585056	0.417202617	0.403	0.218903166	0.262604756	47.44683664		Facultative	Multiple	Mesophilic	Human	No	Bacteria	0.506562623
Escherichia coli UTI89	364106	0.416960227	0.403	0.214379569	0.268637929	47.81515432		Facultative	Host-associated	Mesophilic	Human	No	Bacteria	0.506134687
Escherichia coli W3110	316407	0.421488092	0.405	0.224824833	0.253608986	47.13702198		Facultative	Host-associated	Mesophilic		No	Bacteria	0.50799577
Escherichia fergusonii ATCC 35469	585054	0.418634392	0.402	0.219084001	0.274151786	48.42969739		Facultative	Multiple	Mesophilic	"Human, Animal"	Yes	Bacteria	0.499195389
Eubacterium eligens ATCC 27750	515620	0.554349709	0.538	0.169238823	0.140382989	41.29950624		Anaerobic	Host-associated	Mesophilic		Yes	Bacteria	0.375711003
Eubacterium rectale ATCC 33656	515619	0.481905895	0.463	0.20335913	0.192406882	46.50454636		Anaerobic				Yes	Bacteria	0.414811787
Exiguobacterium AT1b	360911	0.445415018	0.425	0.186445247	0.227014748	49.06299487			Specialized	Thermophilic	No	Yes	Bacteria	0.484625629
Exiguobacterium sibiricum 255 15	262543	0.436311765	0.417	0.193045366	0.187010686	47.48587978		Facultative	Specialized	Psychrophilic		Yes	Bacteria	0.476974703
Ferroglobus placidus DSM 10642 uid40863	589924	0.66609078	0.672	0.072787767	0.076449644	47.48237683	Mesophilic	Anaerobic	Specialized		No	Yes	Archaea	0.441354098
Fervidobacterium nodosum Rt17-B1	381764	0.621033374	0.621	0.068211877	0.13292831	44.7599824		Anaerobic	Specialized	Thermophilic	No	Yes	Bacteria	0.349893096
Fibrobacter succinogenes S85	59374	0.528487331	0.51	0.240542214	0.179803168	45.42648907		Anaerobic	Host-associated	Mesophilic	No	Yes	Bacteria	0.480518446
Finegoldia magna ATCC 29328	334413	0.632986153	0.641	0.14715141	0.114798873	39.9164124	Non-halophilic	Anaerobic	Multiple	Mesophilic	Human	Yes	Bacteria	0.320665009
Flavobacteriaceae bacterium 3519 10	531844	0.489008772	0.479	0.122213137	0.226936694	52.57479781						Yes	Bacteria	0.426927702
Flavobacterium johnsoniae UW101	376686	0.544508846	0.543	0.15278869	0.167622437	44.38613943	Non-halophilic	Aerobic	Multiple	Mesophilic	No	Yes	Bacteria	0.341128533
Flavobacterium psychrophilum JIP02 86	402612	0.612104952	0.609	0.098876423	0.104089908	43.54497683		Aerobic	Aquatic	Psychrophilic	Salmonid fish	Yes	Bacteria	0.325393747
Francisella philomiragia ATCC 25017	484022	0.62509314	0.626	0.075207876	0.094753137	41.01327663		Aerobic	Multiple	Mesophilic	"Human, Animals"	Yes	Bacteria	0.325653714
Francisella tularensis FSC 198	393115	0.628972335	0.626	0.069421926	0.078851093	41.29238596		Aerobic	Aquatic	Mesophilic	"Human, Animal"	No	Bacteria	0.322600041
Francisella tularensis holarctica	119857	0.624695244	0.622	0.072727326	0.074184151	41.2649199		Aerobic	Host-associated	Mesophilic	"Human, Animal"	No	0.321526334	41.2649199
Francisella tularensis holarctica FTA	458234	0.629675732	0.627	0.070066167	0.075223236	41.29005091		Aerobic	Multiple	Mesophilic	"Human, Animal"	Yes	Bacteria	0.321614631
Francisella tularensis holarctica FTNF002 00	458234	0.629675732	0.627	0.070066167	0.075223236	41.29005091		Aerobic	Multiple	Mesophilic	"Human, Animal"	No	Bacteria	0.321614631
Francisella tularensis holarctica OSU18	393011	0.628836823	0.626	0.071012263	0.077633598	41.39390614		Aerobic	Multiple	Mesophilic	"Human, Animal"	No	Bacteria	0.321581114
Francisella tularensis mediasiatica FSC147	441952	0.631128736	0.629	0.070446999	0.080422258	41.32750268		Aerobic	Host-associated	Mesophilic	"Human, Animal"	No	Bacteria	0.322542117
Francisella tularensis novicida U112	401614	0.621751707	0.62	0.073525612	0.082478525	41.36337678		Aerobic	Multiple	Mesophilic		No	Bacteria	0.324750227
